episode,rewards_total
1,82696.2329038
2,82696.2334297
3,80396.6387165
4,78594.8822143
5,68596.8733478
6,70896.7359235
7,74197.0547296
8,68695.5456719
9,85234.040712
10,53072.7538197
11,60741.0447714
12,60694.9327837
13,60765.3116211
14,86696.4757357
15,86696.391572
16,86696.3892507
17,111878.936603
18,121148.811983
19,121148.785002
20,121148.823757
21,121148.843256
22,121148.787877
23,121148.812409
24,119957.045633
25,82796.4975199
26,82796.4500315
27,82796.4965238
28,82796.4171788
29,82796.506782
30,79496.294356
31,74896.8391347
32,74896.8944874
33,74896.9326995
34,78196.6390475
35,77196.6382392
36,78196.7811399
37,79496.1979476
38,73896.8955821
39,73896.7710865
40,73896.7489551
41,72896.8027215
42,73896.8255755
43,72896.7172128
44,72896.6929419
45,72896.7807536
46,72896.7378395
47,72896.7065113
48,71597.3819654
49,71597.4260816
50,72896.762501
51,72896.7520501
52,72896.794973
53,71597.4262697
54,71597.421303
55,71597.2814608
56,71597.3204435
57,71597.3345325
58,71597.3472641
59,71597.3898248
60,71597.4363201
61,71597.2830104
62,71597.4074174
63,71597.3571519
64,71597.3131696
65,71597.2729573
66,71597.4074174
67,71597.2880369
68,71597.3584086
69,71597.4287803
70,71597.4325502
71,71597.4363201
72,71597.2817537
73,71597.3634351
74,71597.3458423
75,71597.3835419
76,71597.4250103
77,71597.2968334
78,71597.3508688
79,71597.3421478
80,71597.4314803
81,71597.3445856
82,71597.3345325
83,71597.4199838
84,71597.339559
85,71597.3558953
86,71597.3320192
87,71597.4061608
88,71597.3031165
89,71597.3785148
90,71597.4325502
91,71597.3031165
92,71597.2943201
93,71597.3345325
94,71597.3659484
95,71597.4363201
96,71597.3898245
97,71597.4325502
98,71597.2729573
99,71597.3282493
100,71597.4312935
101,71597.3207095
102,71597.367205
103,71597.4162139
104,71597.3860546
105,71597.2729573
106,71597.2993466
107,71597.3747449
108,71597.3621785
109,71597.3584086
110,71597.3621785
111,71597.4149572
112,71597.3282493
113,71597.3282493
114,71597.3822847
115,71597.3546387
116,71597.4023909
117,71597.3546387
118,71597.3508688
119,71597.4023909
120,71597.3558953
121,71597.4086741
122,71597.4325502
123,71597.3546387
124,71597.3546387
125,71597.3458422
126,71597.3923378
127,71597.412444
128,71597.3910811
129,71597.3634351
130,71597.4250103
131,71597.3898245
132,71597.3785148
133,71597.4250103
134,71597.4287803
135,71597.3785148
136,71597.311913
137,71597.3546387
138,71597.3282493
139,71597.3521254
